Categoria,Avaliacao,Faturamento,Frete,Peso,Frete por grama
Construction tools lights,5.0,22276.75,3784.75,538315.0,0.007030734792825762
Construction tools safety,1.0,6964.82,703.01,31016.0,0.022666043332473563
Construction tools safety,2.0,668.01,57.910000000000004,1850.0,0.0313027027027027
Construction tools safety,3.0,2810.99,373.29,7746.0,0.04819132455460883
Construction tools safety,4.0,6083.4,724.84,29408.0,0.024647714907508163
Construction tools safety,5.0,23988.3,2044.82,84243.0,0.0242728772717021
Cool stuff,1.0,76107.23,9299.76,899720.0,0.010336282398968569
Cool stuff,2.0,18860.43,2541.07,259317.0,0.009799087603203801
Cool stuff,3.0,45178.66,6507.49,701454.0,0.009277144331631154
Cool stuff,4.0,110278.88,15816.23,1843062.0,0.008581496444503766
Cool stuff,5.0,377168.82,49032.55,5865184.0,0.008359933805998244
Costruction tools garden,1.0,2130.7400000000002,707.8199999999999,57252.0,0.012363236218822049
Costruction tools garden,2.0,1157.89,266.33,31337.0,0.008498899065003031
Costruction tools garden,3.0,2062.39,311.86,30762.0,0.010137832390611794
Costruction tools garden,4.0,5831.360000000001,1096.38,118187.0,0.009276654792828316
Costruction tools garden,5.0,14533.51,2929.0099999999998,311179.0,0.009412621031624884
Costruction tools tools,1.0,945.45,166.46,11008.0,0.01512172965116279
Costruction tools tools,3.0,29.9,14.08,200.0,0.0704
Costruction tools tools,4.0,4077.17,399.59999999999997,25860.0,0.015452436194895591
Costruction tools tools,5.0,10721.73,1377.23,81744.0,0.01684808670972793
Diapers and hygiene,1.0,327.8,136.12,5600.0,0.024307142857142857
Diapers and hygiene,3.0,292.0,139.62,6200.0,0.022519354838709676
Diapers and hygiene,4.0,264.0,123.98,2500.0,0.049592000000000004
Diapers and hygiene,5.0,683.79,173.96,11650.0,0.014932188841201717
Drinks,1.0,3325.13,795.57,70710.0,0.011251166737378023
Drinks,2.0,236.46,74.07,4376.0,0.016926416819012795
Drinks,3.0,1223.68,462.79,21085.0,0.021948778752667774
Drinks,4.0,4891.56,1296.33,86763.0,0.014941046298537394
Drinks,5.0,12661.93,2998.19,190106.0,0.015771148727551997
Dvds blu ray,1.0,2724.57,186.60999999999999,5990.0,0.031153589315525875
Dvds blu ray,2.0,83.99,12.89,2150.0,0.005995348837209303
Dvds blu ray,3.0,8.9,7.39,200.0,0.03695
Dvds blu ray,4.0,456.07,263.3,4350.0,0.06052873563218391
Dvds blu ray,5.0,2708.96,800.92,18325.0,0.043706412005457024
Electronics,1.0,20560.97,5943.57,277970.0,0.02138205561751268
Electronics,2.0,6689.099999999999,1819.2,64752.0,0.02809488510007413
Electronics,3.0,11620.68,3492.79,184327.0,0.01894887889457323
Electronics,4.0,32260.97,9605.27,387092.0,0.02481392020501586
Electronics,5.0,85121.45,25202.76,1201047.0,0.020983991467444653
Fashio female clothing,1.0,463.59000000000003,80.66,3150.0,0.025606349206349206
Fashio female clothing,2.0,312.8,49.93,2300.0,0.021708695652173912
Fashio female clothing,3.0,332.08000000000004,77.08,2850.0,0.02704561403508772
Fashio female clothing,4.0,504.69,141.22,5750.0,0.02456
Fashio female clothing,5.0,1190.48,272.86,12500.0,0.021828800000000002
Fashion bags accessories,1.0,18233.13,3602.06,97850.0,0.03681205927439959
Fashion bags accessories,2.0,3826.3,914.34,15157.0,0.06032460249389721
Fashion bags accessories,3.0,12164.05,2708.27,63053.0,0.04295227824211378
Fashion bags accessories,4.0,28497.15,6450.32,148607.0,0.04340522317252888
Fashion bags accessories,5.0,89282.43,17634.03,447871.0,0.03937301142516483
Fashion childrens clothes,1.0,49.9,16.79,120.0,0.13991666666666666
Fashion childrens clothes,5.0,519.95,78.72,2000.0,0.03936
Fashion male clothing,1.0,2798.69,503.14,17900.0,0.028108379888268156
Fashion male clothing,2.0,184.70000000000002,46.07,1400.0,0.03290714285714286
Fashion male clothing,3.0,704.08,123.22999999999999,4025.0,0.030616149068322978
Fashion male clothing,4.0,1584.67,344.1,10775.0,0.03193503480278422
Fashion male clothing,5.0,5330.68,1096.45,41475.0,0.02643640747438216
Fashion shoes,1.0,2037.77,497.64,21300.0,0.02336338028169014
Fashion shoes,2.0,809.82,181.32999999999998,12350.0,0.014682591093117408
Fashion shoes,3.0,1324.8,315.52,14550.0,0.021685223367697595
Fashion shoes,4.0,3965.76,809.79,46250.0,0.01750897297297297
Fashion shoes,5.0,15025.22,3044.21,173400.0,0.017555997693194925
Fashion sport,1.0,230.89000000000001,123.57,1700.0,0.07268823529411764
Fashion sport,2.0,64.99,18.96,300.0,0.0632
Fashion sport,3.0,129.8,23.52,500.0,0.04704
Fashion sport,4.0,354.29,146.03,1400.0,0.10430714285714286
Fashion sport,5.0,1339.54,266.05,6300.0,0.04223015873015873
Fashion underwear beach,1.0,923.03,270.51,4150.0,0.06518313253012048
Fashion underwear beach,2.0,654.49,114.84,1850.0,0.06207567567567568
Fashion underwear beach,3.0,830.5,138.52,2525.0,0.05485940594059406
Fashion underwear beach,4.0,2052.79,429.65,9400.0,0.04570744680851064
Fashion underwear beach,5.0,5030.84,947.57,18100.0,0.052351933701657465
Fixed telephony,1.0,26605.97,920.38,26942.0,0.03416153218023903
Fixed telephony,2.0,8471.34,335.9,15710.0,0.021381285805219603
Fixed telephony,3.0,1927.49,283.81,8081.0,0.03512065338448212
Fixed telephony,4.0,5871.47,1010.2,25538.0,0.03955673897721043
Fixed telephony,5.0,16106.76,2020.45,70880.0,0.028505220090293455
Flowers,1.0,85.5,19.38,6250.0,0.0031008
Flowers,3.0,76.3,28.04,1400.0,0.020028571428571427
Flowers,4.0,190.70000000000002,89.57,15250.0,0.005873442622950819
Flowers,5.0,647.74,316.56,36050.0,0.008781137309292648
Food,1.0,2577.33,733.46,41428.0,0.017704451095877184
Food,2.0,634.51,208.37,12036.0,0.017312229976736457
Food,3.0,1236.3,339.17,8350.0,0.04061916167664671
Food,4.0,4953.0,1257.37,47042.0,0.02672866799880957
Food,5.0,19534.27,4539.03,219142.0,0.020712734208869134
Food drink,1.0,616.72,292.69,17975.0,0.01628317107093185
Food drink,2.0,73.5,96.81,2666.0,0.03631282820705176
Food drink,3.0,2516.19,492.86,49475.0,0.009961798888327439
Food drink,4.0,2839.21,791.25,44650.0,0.017721164613661813
Food drink,5.0,9108.86,2823.42,192028.0,0.014703168287958007
Furniture bedroom,1.0,2259.95,745.82,143200.0,0.005208240223463688
Furniture bedroom,2.0,646.0,178.07,46600.0,0.003821244635193133
Furniture bedroom,3.0,915.9,211.62,76600.0,0.0027626631853785904
Furniture bedroom,4.0,4104.87,1065.21,199750.0,0.0053327158948685855
Furniture bedroom,5.0,12102.06,2431.5099999999998,622675.0,0.0039049423856747094
Furniture decor,1.0,113478.45,28748.88,3900392.0,0.0073707668357436895
Furniture decor,2.0,28171.27,7251.09,847365.0,0.008557221504310422
Furniture decor,3.0,62091.590000000004,15019.72,1914339.0,0.007845903990881448
Furniture decor,4.0,133464.12,30145.52,3773368.0,0.007989022008985077
Furniture decor,5.0,386139.01,89791.27,11455887.0,0.00783800241744703
Furniture living room,1.0,11828.95,3414.3,731795.0,0.004665650899500544
Furniture living room,2.0,3317.4,832.91,202760.0,0.004107861511146183
Furniture living room,3.0,5681.43,1603.03,369375.0,0.004339844331641286
Furniture living room,4.0,11270.94,3019.49,726933.0,0.004153739065360907
Furniture living room,5.0,35636.18,8850.39,1981231.0,0.004467116656260678
Furniture mattress and upholstery,1.0,912.1,303.78999999999996,47950.0,0.006335557872784149
Furniture mattress and upholstery,2.0,44.7,29.51,10750.0,0.0027451162790697674
Furniture mattress and upholstery,3.0,284.0,116.86,57300.0,0.0020394415357766144
Furniture mattress and upholstery,4.0,1340.88,358.7,101700.0,0.003527040314650934
Furniture mattress and upholstery,5.0,1786.4,821.6,69500.0,0.01182158273381295
Garden tools,1.0,60722.81,12966.16,1493157.0,0.008683721805543556
Garden tools,2.0,13232.16,3228.03,393472.0,0.00820396368737801
Garden tools,3.0,34992.87,7781.21,1023083.0,0.00760564880855219
Garden tools,4.0,99012.85,19585.97,2468183.0,0.007935379994109027
Garden tools,5.0,273810.21,54723.65,6823328.0,0.00802008198931665
Health beauty,1.0,130751.62,20596.82,1118131.0,0.018420757496214666
Health beauty,2.0,28386.04,4972.25,244768.0,0.020314134200549092
Health beauty,3.0,89929.78,14341.81,750251.0,0.019116015840032204
Health beauty,4.0,222780.19,32644.27,1746603.0,0.018690148820310053
Health beauty,5.0,776100.02,108624.97,6180216.0,0.01757624167181212
Home appliances,1.0,7582.06,1493.79,209970.0,0.007114302043149021
Home appliances,2.0,953.9,224.38,9150.0,0.024522404371584698
Home appliances,3.0,4386.71,1227.48,99920.0,0.01228462770216173
Home appliances,4.0,17769.81,3113.6,267534.0,0.011638146927119543
Home appliances,5.0,49257.2,8722.95,903462.0,0.009655026996154791
Home appliances 2,1.0,11574.97,1137.95,223464.0,0.005092319120753231
Home appliances 2,2.0,4829.77,443.53999999999996,99250.0,0.004468916876574307
Home appliances 2,3.0,5170.46,764.64,166504.0,0.0045923221063758225
Home appliances 2,4.0,24088.27,2601.06,522983.0,0.004973507743081515
Home appliances 2,5.0,67285.37,5579.61,1099201.0,0.005076059792522023
Home comfort 2,1.0,77.4,73.49,4200.0,0.017497619047619047
Home comfort 2,2.0,12.9,15.1,700.0,0.02157142857142857
Home comfort 2,3.0,38.7,44.21,2100.0,0.021052380952380954
Home comfort 2,4.0,51.6,56.34,2800.0,0.02012142857142857
Home comfort 2,5.0,540.97,175.87,12938.0,0.01359329108053795
Home confort,1.0,8483.880000000001,1374.96,215100.0,0.006392189679218968
Home confort,2.0,2653.4900000000002,428.21,64750.0,0.006613281853281853
Home confort,3.0,7995.47,1185.74,163025.0,0.007273362981137862
Home confort,4.0,7923.85,1054.46,178950.0,0.0058924839340597935
Home confort,5.0,30738.45,4418.43,721125.0,0.006127134685387416
Home construction,1.0,9956.62,1816.05,216159.0,0.008401454484893064
Home construction,2.0,5219.5,913.35,142799.0,0.0063960531936498154
Home construction,3.0,5705.77,980.33,138804.0,0.007062692717789113
Home construction,4.0,21270.48,3398.89,464968.0,0.007309943910118546
Home construction,5.0,40605.25,6643.52,876309.0,0.007581252731627771
Housewares,1.0,75965.03,18392.12,2724945.0,0.006749538064071018
Housewares,2.0,22179.14,5332.41,883269.0,0.006037130251373025
Housewares,3.0,49910.81,12904.51,1971006.0,0.006547169313538366
Housewares,4.0,111937.82,26579.6,4000630.0,0.006643853593059093
Housewares,5.0,367771.48,82082.18,12612299.0,0.006508106095486636
Industry commerce and business,1.0,4344.8099999999995,999.49,239575.0,0.0041719294584159445
Industry commerce and business,2.0,548.6,133.42000000000002,16025.0,0.008325741029641186
Industry commerce and business,3.0,2689.15,729.92,144567.0,0.005049008418242061
Industry commerce and business,4.0,6799.17,1535.96,393702.0,0.0039013263839147378
Industry commerce and business,5.0,25101.88,4431.97,966940.0,0.00458350052743707
Kitchen dining laundry garden furniture,1.0,6146.37,1724.95,353225.0,0.004883431240710595
