Categoria,Faturamento,Frete,Avaliacao
Fashion sport,354.29,146.03,4.0
Fashion sport,1339.54,266.05,5.0
Fashion underwear beach,923.03,270.51,1.0
Fashion underwear beach,654.49,114.84,2.0
Fashion underwear beach,830.5,138.52,3.0
Fashion underwear beach,2052.79,429.65,4.0
Fashion underwear beach,5030.84,947.57,5.0
Fixed telephony,26605.97,920.38,1.0
Fixed telephony,8471.34,335.9,2.0
Fixed telephony,1927.49,283.81,3.0
Fixed telephony,5871.47,1010.2,4.0
Fixed telephony,16106.76,2020.45,5.0
Flowers,85.5,19.38,1.0
Flowers,76.3,28.04,3.0
Flowers,190.7,89.57,4.0
Flowers,647.74,316.56,5.0
Food,2577.33,733.46,1.0
Food,634.51,208.37,2.0
Food,1236.3,339.17,3.0
Food,4953.0,1257.37,4.0
Food,19534.27,4539.03,5.0
Food drink,616.72,292.69,1.0
Food drink,73.5,96.81,2.0
Food drink,2516.19,492.86,3.0
Food drink,2839.21,791.25,4.0
Food drink,9108.86,2823.42,5.0
Furniture bedroom,2259.95,745.82,1.0
Furniture bedroom,646.0,178.07,2.0
Furniture bedroom,915.9,211.62,3.0
Furniture bedroom,4104.87,1065.21,4.0
Furniture bedroom,12102.06,2431.51,5.0
Furniture decor,113478.45,28748.88,1.0
Furniture decor,28171.27,7251.09,2.0
Furniture decor,62091.59,15019.72,3.0
Furniture decor,133464.12,30145.52,4.0
Furniture decor,386139.01,89791.27,5.0
Furniture living room,11828.95,3414.3,1.0
Furniture living room,3317.4,832.91,2.0
Furniture living room,5681.43,1603.03,3.0
Furniture living room,11270.94,3019.49,4.0
Furniture living room,35636.18,8850.39,5.0
Furniture mattress and upholstery,912.1,303.79,1.0
Furniture mattress and upholstery,44.7,29.51,2.0
Furniture mattress and upholstery,284.0,116.86,3.0
Furniture mattress and upholstery,1340.88,358.7,4.0
Furniture mattress and upholstery,1786.4,821.6,5.0
Garden tools,60722.81,12966.16,1.0
Garden tools,13232.16,3228.03,2.0
Garden tools,34992.87,7781.21,3.0
Garden tools,99012.85,19585.97,4.0
Garden tools,273810.21,54723.65,5.0
Health beauty,130751.62,20596.82,1.0
Health beauty,28386.04,4972.25,2.0
Health beauty,89929.78,14341.81,3.0
Health beauty,222780.19,32644.27,4.0
Health beauty,776100.02,108624.97,5.0
Home appliances,7582.06,1493.79,1.0
Home appliances,953.9,224.38,2.0
Home appliances,4386.71,1227.48,3.0
Home appliances,17769.81,3113.6,4.0
Home appliances,49257.2,8722.95,5.0
Home appliances 2,11574.97,1137.95,1.0
Home appliances 2,4829.77,443.54,2.0
Home appliances 2,5170.46,764.64,3.0
Home appliances 2,24088.27,2601.06,4.0
Home appliances 2,67285.37,5579.61,5.0
Home comfort 2,77.4,73.49,1.0
Home comfort 2,12.9,15.1,2.0
Home comfort 2,38.7,44.21,3.0
Home comfort 2,51.6,56.34,4.0
Home comfort 2,540.97,175.87,5.0
Home confort,8483.880000000001,1374.96,1.0
Home confort,2653.49,428.21,2.0
Home confort,7995.47,1185.74,3.0
Home confort,7923.85,1054.46,4.0
Home confort,30738.45,4418.43,5.0
Home construction,9956.62,1816.05,1.0
Home construction,5219.5,913.35,2.0
Home construction,5705.77,980.33,3.0
Home construction,21270.48,3398.89,4.0
Home construction,40605.25,6643.52,5.0
Housewares,75965.03,18392.12,1.0
Housewares,22179.14,5332.41,2.0
Housewares,49910.81,12904.51,3.0
Housewares,111937.82,26579.6,4.0
Housewares,367771.48,82082.18,5.0
Industry commerce and business,4344.81,999.49,1.0
Industry commerce and business,548.6,133.42000000000002,2.0
Industry commerce and business,2689.15,729.92,3.0
Industry commerce and business,6799.17,1535.96,4.0
Industry commerce and business,25101.88,4431.97,5.0
Kitchen dining laundry garden furniture,6146.37,1724.95,1.0
Kitchen dining laundry garden furniture,684.79,179.69,2.0
Kitchen dining laundry garden furniture,7044.45,1776.28,3.0
Kitchen dining laundry garden furniture,10001.04,2630.4,4.0
Kitchen dining laundry garden furniture,22198.82,5626.78,5.0
La cuisine,304.0,64.93,1.0
La cuisine,389.0,37.7,4.0
La cuisine,1224.99,230.81,5.0
Luggage accessories,10409.05,2540.96,1.0
Luggage accessories,3789.05,838.06,2.0
Luggage accessories,7000.58,1788.5,3.0
Luggage accessories,26373.11,5733.35,4.0
Luggage accessories,92273.41,19411.85,5.0
Market place,3436.92,622.16,1.0
Market place,498.45,110.54,2.0
Market place,3581.49,546.38,3.0
Market place,6555.51,1372.15,4.0
Market place,14240.81,2772.94,5.0
Music,307.67,64.52,1.0
Music,894.1,72.26,3.0
Music,890.33,126.71,4.0
Music,3942.25,427.02,5.0
Musical instruments,21906.52,2264.66,1.0
Musical instruments,5311.9800000000005,575.16,2.0
Musical instruments,10027.05,1041.33,3.0
Musical instruments,39799.15,3680.72,4.0
Musical instruments,111806.86,10930.55,5.0
Office furniture,56599.56,14467.76,1.0
Office furniture,12175.27,3748.04,2.0
